"id";"name";"meta_keywords";"tags"
"270";"Агропродовольственные кластеры в Москве";"";"новости города"
"271";"В Москве продолжается реконструкция Можайского шоссе";"";"Дороги|Дорожное строительство|Можайское шоссе"
"272";"""Москва строится"": Реконструкция Рязанского проспекта";"";"Дороги|Дорожное строительство|Рязанский проспект"
"273";"Как узнать, что за стройка рядом с домом";"";"новости города"
"274";"""Москва строится"": Реконструкция Ярославского шоссе";"";"Дороги|Дорожное строительство|Ярославское шоссе"
"275";"""Москва строится"": Продление Сокольнической линии в Новую Москву";"";"новая Москва|Метрополитен"
"276";"В Москве идет строительство стадионов для ФК ЦСКА и ""Спартак""";"";"Спортивные сооружения"
"277";"""Москва в цифрах"": Станция метро ""Деловой центр""";"";"метро «Деловой центр»|Метрополитен"
"278";"Победителя конкурса на застройку ""Зарядья"" объявят в ноябре";"";"Конкурс|Зарядье"
"279";"""Москва в цифрах"": Станция метро ""Котельники""";"";"метро «Котельники»|Метрополитен"
"280";"Открытие станций метро ""Лермонтовский проспект"" и ""Жулебино"". А. Бочкарев";"";"Андрей Бочкарев|ЮВАО|метро «Жулебино»"
"281";"3 место. Проект MVRDV";"";"Архитектурные конкурсы|Общественные парки и сады|Пешеходные зоны|ЦАО"
"282";"2 место. Проект «ТПО Резерв»";"";"Архитектурные конкурсы|Общественные парки и сады|Пешеходные зоны|ЦАО"
"283";"1 место. Проект Diller Scofidio + Renfo";"";"Архитектурные конкурсы|Общественные парки и сады|Пешеходные зоны|ЦАО"
"284";"""Москва в цифрах"": Реорганизация Нагатинской промзоны";"";"Промзоны"
"285";"Каким будет электродепо ""Солнцево"" в 2016 году";"";"метро «Солнцево»|Электродепо"
"286";"""Москва строится"": Участок Четвертого транспортного кольца";"";"Дороги|Дорожное строительство"
"287";"""Москва строится"": Продление Калининско-Солнцевской линии";"";"Тоннели|метро «Солнцево»"
"288";"Идет строительство развязки МКАД с Мичуринским проспектом";"";"Дорожное строительство"
"289";"В ближайшие два года метро появится в 12 районах столицы";"";"Тоннели"
"290";"Встреча с членами Клуба инвесторов Москвы. С. Собянин";"";"Сергей Собянин"
"291";"""Москва в цифрах"": ""Лужники"" реконструируют к ЧМ по футболу 2018";"";"Спортивные сооружения"
"293";"Открылся тендер на реконструкцию большой арены стадиона «Лужники»";"";"Спортивные сооружения|Марат Хуснуллин"
"294";"О реконструкции Большой спортивной арены в ""Лужниках"". М. Хуснуллин";"";"Спортивные сооружения|Марат Хуснуллин"
"295";"Осмотр хода строительства станции метро ""Нижняя Масловка"" (Второе кольцо метро). М. Хуснуллин";"";"Марат Хуснуллин|метро «Нижняя Масловка»"
"296";"Видеоинтервью: Владимир Жидкин о результатах работы в ""новой Москве"" в 2013 году";"";"Владимир Жидкин|новая Москва"
"297";"02.12.2013. Началось строительство станции метро «Хорошевская»";"";"метро «Хорошевская»|Метрополитен"
"298";"Где появятся новые детские сады";"";"Детские сады"
"299";"МКАД на юго-западном участке ожидает масштабная реконструкция";"";"Дороги|Дорожное строительство|ЮЗАО"
"300";"""Москва в цифрах"": Чем хорды лучше транспортного кольца";"";"Дороги|Дорожное строительство"
"301";"Территория завода ""Серп и Молот""";"";"Промзоны|Промышленные территории"
