"id";"name";"meta_keywords";"tags"
"374";"Открытие детского сада в Северном Измайлово. С. Собянин, М. Хуснуллин";"";"Марат Хуснуллин|Андрей Бочкарев|детские сады|объекты образования"
"375";"Осмотр строящейся станции метро и стадиона ""Спартак"" в ходе субботнего объезда СЗАО. М. Хуснуллин, В. Говердовский, Л. Федун";"";"Марат Хуснуллин|Андрей Бочкарев|строительство метро|строительство|спортивные объекты|станции метро|метро «Спартак» (Таганско-Краснопресненская линия)|СЗАО"
"376";"Открытие эстакады на пересечении Дмитровского шоссе и МКАД. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|развязки|транспортные развязки|вылетные магистрали|реконструкция|Дмитровское шоссе|Сергей Собянин"
"377";"Финал конкурса ""Московские мастера - 2014"" по профессии ""Электросварщик ручной сварки"". С. Дегтярев";"";"Москва|конкурсы|объекты образования|освещение работы Стройкомплекса|Городские конкурсы"
"378";"Осмотр строящейся станции метро ""Рассказовка"" Калининско-Солнцевской линии. С. Собянин, М. Хуснуллин, А. Бочкарев";"";"Марат Хуснуллин|Андрей Бочкарев|строительство метро|Калининско-Солнцевская линия|станции метро|Сергей Собянин"
"379";"Осмотр территории завода ""Серп и Молот"" в ходе субботнего объезда. М. Хуснуллин";"";"Москва|Марат Хуснуллин|Андрей Бочкарев|Городские конкурсы|Промзоны|ЮВАО"
"380";"Финал конкурса ""Московские мастера - 2014"" по профессии ""Специалист по охране труда""";"";"Москва|дома|строительство|конкурсы|Городские конкурсы|ЮЗАО"
"381";"Пресс-конференция заместителя мэра Москвы по вопросам градостроительной политики и строительства Марата Хуснуллина, посвященная развитию ТиНАО";"";"Марат Хуснуллин|ТиНАО"
"382";"Открытие движения по реконструированной дороге от Киевского до Калужского шоссе (дер. Саларьево - дер. Мамыри). С. Собянин, М. Хуснуллин, В. Жидкин";"";"дороги|Марат Хуснуллин|Владимир Жидкин|реконструкция|Сергей Собянин|ТиНАО|НАО"
"383";"Осмотр строящегося жилого квартала на улице Базовская (САО). С. Собянин, М. Хуснуллин, А. Бочкарев, С. Кузнецов";"";"Марат Хуснуллин|Андрей Бочкарев|Сергей Кузнецов|жилье|Сергей Собянин|САО"
"384";"Реконструкция транспортной развязки на пересечении МКАД и Каширского шоссе. М. Хуснуллин";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|развязки|транспортные развязки|вылетные магистрали|эстакады|реконструкция|Каширское шоссе|ЮАО"
"385";"Открытие движения по новой эстакаде Мичуринской развязки. С. Собянин, М. Хуснуллин";"";"дороги|Марат Хуснуллин|Андрей Бочкарев|развязки|вылетные магистрали|эстакады|реконструкция|Сергей Собянин|Петр Аксенов"
"386";"Княжевская Юлиана Владимировна";"Княжевская, архитектура, строительство";"строительство|Юлиана Княжевская"
